Convoluting,Convoluted
Cutbacking,Cutbacked
Revisiting,Revisited
Machining,Machined
Playbacking,Playbacked
Hopping,Hopped
Hyposensitizing,Hyposensitized
Classifying,Classified
Turmoiling,Turmoiled
Swinging,Swung
Outfighting,Outfought
Diagramming,Diagrammed
Wronging,Wronged
Chumping,Chumped
Warbling,Warbled
Marginalizing,Marginalized
Scourging,Scourged
Revolting,Revolted
Seasoning,Seasoned
Winking,Winked
Winging,Winged
Squinting,Squinted
Wining,Wined
Triturating,Triturated
Transecting,Transected
Confederating,Confederated
Varying,Varied
Stagemanaging,Stagemanaged
Handcuffing,Handcuffed
Butchering,Butchered
Wroughting,Wroughted
Contusing,Contused
Entrammelling,Entrammelled
Fixing,Fixed
Basting,Basted
Seceding,Seceded
Fibbing,Fibbed
Figging,Figged
Transvaluing,Transvalued
Finning,Finned
Undercutting,Undercut
Glorifying,Glorified
Unpegging,Unpegged
Enriching,Enriched
Slating,Slated
Decarbonizing,Decarbonized
Commemorating,Commemorated
Memorializing,Memorialized
Confuting,Confuted
Interrupting,Interrupted
Silvering,Silvered
Rumouring,Rumoured
Defecating,Defecated
Debuting,Debuted
Debusing,Debused
Debugging,Debugged
Gumshoeing,Gumshoed
Tolling,Tolled
Telescoping,Telescoped
Swathing,Swathed
Garmenting,Garmented
Exhuming,Exhumed
Whizzing,Whizzed
Ameliorating,Ameliorated
Allaying,Allayed
Whirring,Whirred
Ringing,Rung
Overwriting,Overwrote
Smirking,Smirked
Waiving,Waived
Freezing,Froze
Masoning,Masoned
Unclogging,Unclogged
Nomadizing,Nomadized
Encouraging,Encouraged
Adapting,Adapted
Teetering,Teetered
Smarting,Smarted
Waddling,Waddled
Roqueting,Roqueted
Inscribing,Inscribed
Outmarching,Outmarched
Broiling,Broiled
Knitting,Knitted
Quickstepping,Quickstepped
Interpaging,Interpaged
Superscribing,Superscribed
Conniving,Connived
Machineguning,Machineguned
Untreading,Untrod
Spindling,Spindled
Symbolizing,Symbolized
Striping,Striped
Deforcing,Deforced
Ogling,Ogled
Haggling,Haggled
Goggling,Goggled
Misplacing,Misplaced
Procreating,Procreated
Washing,Washed
Instructing,Instructed
Declaiming,Declaimed
Servicing,Serviced
Replevining,Replevined
Airconditioning,Airconditioned
Traumatizing,Traumatized
Roning,Roned
Stacking,Stacked
Mastering,Mastered
Underlying,Underlay
Postulating,Postulated
Bittering,Bittered
Listening,Listened
Abirritating,Abirritated
Enthralling,Enthralled
Supercalendering,Supercalendered
Innerving,Innerved
Emaciating,Emaciated
Tasking,Tasked
Crawling,Crawled
Whiting,Whited
Trekking,Trekked
Outlaying,Outlaid
Outlawing,Outlawed
Treeing,Treed
Projecting,Projected
Enwinding,Enwound
Idling,Idled
Enduring,Endured
Halving,Halved
Acclaiming,Acclaimed
Napalming,Napalmed
Hugging,Hugged
Urinating,Urinated
Preponderating,Preponderated
Kayoing,Kayoed
Alkalizing,Alkalized
Griping,Griped
Inditing,Indited
Ambuscading,Ambuscaded
Pandering,Pandered
Shalling,Shalled
Overscoring,Overscored
Objecting,Objected
Impropriating,Impropriated
Simplifying,Simplified
Mouthing,Mouthed
Addicting,Addicted
Lettering,Lettered
Flustering,Flustered
Shalting,Shalted
Enciphering,Enciphered
Dummying,Dummied
Upending,Upended
Nasalizing,Nasalized
Foisting,Foisted
Camping,Camped
Departmentalizing,Departmentalized
Nettling,Nettled
Disaffecting,Disaffected
Consummating,Consummated
Screaking,Screaked
Screaming,Screamed
Marvelling,Marvelled
Mortising,Mortised
Incorporating,Incorporated
Bombing,Bombed
Dickering,Dickered
Prigging,Prigged
Rescheduling,Rescheduled
Concentring,Concentred
Striating,Striated
Participating,Participated
Capering,Capered
Busying,Busied
Headlining,Headlined
Faradizing,Faradized
Busting,Busted
Busking,Busked
Bushing,Bushed
Ricking,Ricked
Mending,Mended
Ricing,Riced
Plating,Plated
Gallicizing,Gallicized
Remarrying,Remarried
Preempting,Preempted
Denouncing,Denounced
Ceiling,Ceiled
Pocketing,Pocketed
Euphonizing,Euphonized
Cushioning,Cushioned
Relishing,Relished
Enrobing,Enrobed
Patching,Patched
Releasing,Released
Urticating,Urticated
Hastening,Hastened
Responding,Responded
Traversing,Traversed
Fairing,Faired
Clewing,Clewed
Resulting,Resulted
Clemming,Clemmed
Failing,Failed
Internationalizing,Internationalized
Cockling,Cockled
Hammering,Hammered
Besting,Bested
Irking,Irked
Flagellating,Flagellated
Scorning,Scorned
Vociferating,Vociferated
Pirating,Pirated
Hoppling,Hoppled
Waging,Waged
Pigsticking,Pigsticked
Extending,Extended
Quadruplicating,Quadruplicated
Personalizing,Personalized
Reconstituting,Reconstituted
Wheelbarrowing,Wheelbarrowed
Downgrading,Downgraded
Wherriting,Wherrited
Pitying,Pitied
Veering,Veered
Disdaining,Disdained
Incensing,Incensed
Pithing,Pithed
Subliming,Sublimed
Arguing,Argued
Tingeing,Tinged
Schmoozing,Schmoozed
Eradicating,Eradicated
Rehashing,Rehashed
Vailing,Vailed
Extravasating,Extravasated
Agglomerating,Agglomerated
Factorizing,Factorized
Escalading,Escaladed
Vitrifying,Vitrified
Penalizing,Penalized
Vellicating,Vellicated
Bewildering,Bewildered
Parleying,Parleyed
Chroming,Chromed
Slaying,Slew
Subsiding,Subsided
Adverting,Adverted
Privileging,Privileged
Frying,Fried
Mothballing,Mothballed
Counterattacking,Counterattacked
Drying,Dried
Retrospecting,Retrospected
Spitting,Spit
Intermarrying,Intermarried
Wishing,Wished
Snapping,Snapped
Jousting,Jousted
Lifting,Lifted
Incommoding,Incommoded
Tobogganing,Tobogganed
Doting,Doted
Spinning,Spun
Excorciating,Excorciated
Chilling,Chilled
Iodizing,Iodized
Dissecting,Dissected
Overweighing,Overweighed
Employing,Employed
Prostrating,Prostrated
Binning,Binned
Phosphorescing,Phosphoresced
Characterizing,Characterized
Eliciting,Elicited
Transfusing,Transfused
Honing,Honed
Crediting,Credited
Remanding,Remanded
Decanting,Decanted
Splitting,Split
Heathenizing,Heathenized
Personifying,Personified
Pipetting,Pipetted
Refitting,Refitted
Misdoubting,Misdoubted
Titivating,Titivated
Suppering,Suppered
Toping,Toped
Tuning,Tuned
Furloughing,Furloughed
Jargonizing,Jargonized
Cannibalizing,Cannibalized
Unhooking,Unhooked
Subpoenaing,Subpoenaed
Abounding,Abounded
Bellowing,Bellowed
Distributing,Distributed
Besetting,Beset
Disguising,Disguised
Prognosticating,Prognosticated
Plighting,Plighted
Brandishing,Brandished
Lassoing,Lassoed
Induing,Indued
Hamming,Hammed
Aquaplaning,Aquaplaned
Easing,Eased
Haying,Hayed
Faltering,Faltered
Hatting,Hatted
Hawing,Hawed
Footling,Footled
Testfiring,Testfired
Collectivizing,Collectivized
Birthing,Birthed
Roistering,Roistered
Shadowing,Shadowed
Summonsing,Summonsed
Desiring,Desired
Seeking,Sought
Disaccustoming,Disaccustomed
Altercating,Altercated
Reminding,Reminded
Sectarianizing,Sectarianized
Prologuing,Prologued
Righting,Righted
Crowding,Crowded
Peopling,Peopled
Scathing,Scathed
Crowning,Crowned
Outgeneralling,Outgeneralled
Mishitting,Mishit
Desensitizing,Desensitized
Demineralizing,Demineralized
Pricking,Pricked
Animating,Animated
Creeping,Crept
Chorusing,Chorused
Blacklegging,Blacklegged
Rehearsing,Rehearsed
Foxing,Foxed
Subclassing,Subclassed
Fogging,Fogged
Fobbing,Fobbed
Germinating,Germinated
Presiding,Presided
Colleting,Colleted
Trampolining,Trampolined
Regorging,Regorged
Yoking,Yoked
Digitalizing,Digitalized
Intenerating,Intenerated
Slithering,Slithered
Lackeying,Lackeyed
Autotomizing,Autotomized
Recollecting,Recollected
Reticulating,Reticulated
Platonizing,Platonized
Meddling,Meddled
Sobbing,Sobbed
Overshadowing,Overshadowed
Honeymooning,Honeymooned
Overgrowing,Overgrew
Administering,Administered
Multiplying,Multiplied
Inhuming,Inhumed
Sweltering,Sweltered
Sowing,Sowed
Mamboing,Mamboed
Resiling,Resiled
Nid-nodding,Nid-nodded
Sufficing,Sufficed
Decussating,Decussated
Taming,Tamed
Availing,Availed
Furcating,Furcated
Tamping,Tamped
Overhanding,Overhanded
Overhanging,Overhung
Subtending,Subtended
Bowsing,Bowsed
Offering,Offered
Unrooting,Unrooted
Straggling,Straggled
Safeguarding,Safeguarded
Duelling,Duelled
Misinforming,Misinformed
Transliterating,Transliterated
Pontificating,Pontificated
Communizing,Communized
Discountenancing,Discountenanced
Disgracing,Disgraced
Sighting,Sighted
Suborning,Suborned
Unnerving,Unnerved
Grabbling,Grabbled
Crumbling,Crumbled
Soothing,Soothed
Existing,Existed
Splotching,Splotched
Blackmarketing,Blackmarketed
Leering,Leered
Flooring,Floored
Canonizing,Canonized
Relaxing,Relaxed
Flooding,Flooded
Desecrating,Desecrated
Plasmolyzing,Plasmolyzed
Snicking,Snicked
Smelling,Smelt
Circumcising,Circumcised
Valuating,Valuated
Asterisking,Asterisked
Superadding,Superadded
Substracting,Substracted
Foxhunting,Foxhunted
Objectifying,Objectified
Snoozing,Snoozed
Intrusting,Intrusted
Hurting,Hurt
Warning,Warned
Diademing,Diademed
Timing,Timed
Pushing,Pushed
Frenzying,Frenzied
Gowning,Gowned
Moithering,Moithered
Chaining,Chained
Interspacing,Interspaced
Ruddling,Ruddled
Avalanching,Avalanched
Peninsulating,Peninsulated
Convoying,Convoyed
Chairing,Chaired
Retrofitting,Retrofitted
Vetting,Vetted
Freelancing,Freelanced
Vexing,Vexed
Cratering,Cratered
Syllogizing,Syllogized
Spluttering,Spluttered
Persevering,Persevered
Ingathering,Ingathered
Jerking,Jerked
Argufying,Argufied
Refinancing,Refinanced
Embarking,Embarked
Rooking,Rooked
Mourning,Mourned
Bustling,Bustled
Exacting,Exacted
Overstocking,Overstocked
Giftwrapping,Giftwrapped
Disembodying,Disembodied
Re-ceding,Receded
Tricycling,Tricycled
Tearing,Tore
Folk-dancing,Folk-danced
Overarching,Overarched
Larning,Larned
Leaving,Leaved
Settling,Settled
Stockading,Stockaded
Insufflating,Insufflated
Skewering,Skewered
Gasifying,Gasified
Re-joining,Rejoined
Torrifying,Torrified
Sighing,Sighed
Signing,Signed
Islamizing,Islamized
Educating,Educated
Sequestrating,Sequestrated
Convulsing,Convulsed
Melting,Melted
Wriggling,Wriggled
Jog-trotting,Jog-trotted
Boosting,Boosted
Accoutring,Accoutred
Osmosing,Osmosed
Absconding,Absconded
Honouring,Honoured
Contemplating,Contemplated
Snacking,Snacked
Splicing,Spliced
Addressing,Addrest
Subleasing,Subleased
Enrolling,Enrolled
Halogenating,Halogenated
Fledging,Fledged
Rooting,Rooted
Queueing,Queueed
Coextending,Coextended
Solarizing,Solarized
Roughdrying,Roughdried
Etherifying,Etherified
Respiting,Respited
Loving,Loved
Proportioning,Proportioned
Preferring,Preferred
Bloodying,Bloodied
Abashing,Abashed
Faking,Faked
Encysting,Encysted
Unlashing,Unlashed
Abasing,Abased
Engrailing,Engrailed
Dangling,Dangled
Crash-diving,Crash-dived
Annunciating,Annunciated
Affording,Afforded
Reprising,Reprised
Refraining,Refrained
Degrading,Degraded
Involving,Involved
Embowering,Embowered
Pretending,Pretended
Straining,Strained
Dissimilating,Dissimilated
Dispossessing,Dispossessed
Circumambulating,Circumambulated
Reforesting,Reforested
Deschooling,Deschooled
Parachuting,Parachuted
Reestablishing,Reestablished
Eviting,Evited
Emotionalizing,Emotionalized
Disprizing,Disprized
Wintering,Wintered
Ambushing,Ambushed
Crossrefering,Crossrefered
Splodging,Splodged
Cavilling,Cavilled
Overissuing,Overissued
Spotting,Spotted
Rehabilitating,Rehabilitated
Dropkicking,Dropkicked
Outthinking,Outthought
Dating,Dated
Sucking,Sucked
Journalizing,Journalized
Stressing,Stressed
Correlating,Correlated
Trucking,Trucked
Skirmishing,Skirmished
Featuring,Featured
Coursing,Coursed
Yearning,Yearned
Bastardizing,Bastardized
Horrifying,Horrified
Mishearing,Misheard
Bulldozing,Bulldozed
Jigging,Jigged
Deriving,Derived
Disconnecting,Disconnected
Solacing,Solaced
Strolling,Strolled
Thumping,Thumped
Petitioning,Petitioned
Aproning,Aproned
Smartening,Smartened
Babysitting,Babysat
Bedevilling,Bedevilled
Sublimating,Sublimated
Hiccoughing,Hiccoughed
Plunking,Plunked
Reverting,Reverted
Englutting,Englutted
Amnestying,Amnestied
Quartering,Quartered
Revering,Revered
Turtling,Turtled
Concertinaing,Concertinaed
Squaring,Squared
Retrieving,Retrieved
Edifying,Edified
Receipting,Receipted
Fireproofing,Fireproofed
Asseverating,Asseverated
Inhering,Inhered
Beetling,Beetled
Propitiating,Propitiated
Trolling,Trolled
Jouncing,Jounced
Besprinkling,Besprinkled
Abiding,Abode
Spurring,Spurred
Intermixing,Intermixed
Intermitting,Intermitted
Hibernating,Hibernated
Dumfounding,Dumfounded
Brailling,Brailled
Enveloping,Enveloped
Reshuffling,Reshuffled
Disrespecting,Disrespected
Snookering,Snookered
Jockeying,Jockeyed
Miming,Mimed
Remaindering,Remaindered
Dog-paddling,Dog-paddled
Gaffing,Gaffed
Bluepenciling,Bluepenciled
Chevying,Chevied
Initiating,Initiated
Enkindling,Enkindled
Punting,Punted
Calquing,Calqued
Solubilizing,Solubilized
Neglecting,Neglected
Socking,Socked
Unloosing,Unloosened
Pottering,Pottered
Reopening,Reopened
Sjamboking,Sjamboked
Submitting,Submitted
Crouping,Crouped
Opening,Opened
Summarizing,Summarized
Languishing,Languished
Biting,Bited
Dandifying,Dandified
Indicating,Indicated
Shivering,Shivered
Drafting,Drafted
Dissipating,Dissipated
Convening,Convened
Citing,Cited
Unmooring,Unmoored
Demonetizing,Demonetized
Blazoning,Blazoned
Bump-starting,Bump-started
Re-acting,Reacted
Snatching,Snatched
Indwelling,Indwelt
Poulticing,Poulticed
Carbonizing,Carbonized
Translating,Translated
Cowering,Cowered
Stammering,Stammered
Winkling,Winkled
Africanizing,Africanized
Prospecting,Prospected
Smutching,Smutched
Sagging,Sagged
Necrosing,Necrosed
Saying,Said
Sapping,Sapped
Sawing,Sawed
Perplexing,Perplexed
Aspirating,Aspirated
Kneading,Kneaded
Retroacting,Retroacted
Noting,Noted
Unlearning,Unlearnt
Maintaining,Maintained
Taking,Took
Destroying,Destroyed
Coinciding,Coincided
Unfixing,Unfixed
Buffering,Buffered
Slumping,Slumped
Compressing,Compressed
Buffeting,Buffeted
Abutting,Abutted
Crocheting,Crocheted
Putputting,Putputted
Hot-pressing,Hot-pressed
Chomping,Chomped
Illusing,Illused
Operating,Operated
Enamelling,Enamelled
Energizing,Energized
Averaging,Averaged
Driving,Drove
Winding,Wound
Axing,Axed
Salting,Salted
Intoxicating,Intoxicated
Tumefying,Tumefied
Infuriating,Infuriated
Mincing,Minced
Meriting,Merited
Underletting,Underlet
Dialogizing,Dialogized
Slotting,Slotted
Outspanning,Outspanned
Slopping,Slopped
Transacting,Transacted
Cloaking,Cloaked
Shorting,Shorted
Debunking,Debunked
Slogging,Slogged
Outraging,Outraged
Robing,Robed
Disputing,Disputed
Clanking,Clanked
Digitizing,Digitized
Clanging,Clanged
Submersing,Submersed
Yammering,Yammered
Priming,Primed
Disrating,Disrated
Pimping,Pimped
Assimilating,Assimilated
Brominating,Brominated
Borrowing,Borrowed
Batfowling,Batfowled
Spancelling,Spancelled
Primping,Primped
Fortifying,Fortified
Disparaging,Disparaged
Visioning,Visioned
Keyboarding,Keyboarded
Espying,Espied
Expiating,Expiated
Plummeting,Plummeted
Interpellating,Interpellated
Diddling,Diddled
Bootlegging,Bootlegged
Denizening,Denizened
Heterodyning,Heterodyned
Moping,Moped
Presaging,Presaged
Forsaking,Forsook
Gutturalizing,Gutturalized
Distraining,Distrained
Screening,Screened
Doming,Domed
Concentrating,Concentrated
Sparing,Spared
Sparking,Sparked
Undermining,Undermined
Quacking,Quacked
Ousting,Ousted
Fitting,Fitted
Belying,Belied
Checkrowing,Checkrowed
Calumniating,Calumniated
Allowancing,Allowanced
Riddling,Riddled
Twitting,Twitted
Eternizing,Eternized
Twinning,Twinned
Articling,Articled
Anteing,Anteed
False-carding,False-carded
Twigging,Twigged
Boating,Boated
Airmailing,Airmailed
Stretching,Stretched
Vacationing,Vacationed
Conceding,Conceded
Cupeling,Cupeled
Luffing,Luffed
Enabling,Enabled
Disaccrediting,Disaccredited
Observing,Observed
Transmogrifying,Transmogrified
Stalemating,Stalemated
Diffusing,Diffused
Infolding,Infolded
Maladministering,Maladministered
Trepanning,Trepanned
Singling,Singled
Hypertrophying,Hypertrophied
Coextruding,Coextruded
Hawsing,Hawsed
Chamoising,Chamoised
Girthing,Girthed
Discolouring,Discoloured
Canoeing,Canoed
Pursing,Pursed
Blatting,Blatted
Blahing,Blahed
Cagmaging,Cagmaged
Imbricating,Imbricated
Blabbing,Blabbed
Faming,Famed
Gemmating,Gemmated
Reanimating,Reanimated
Excogitating,Excogitated
Furbelowing,Furbelowed
Geminating,Geminated
Unionizing,Unionized
Nuzzling,Nuzzled
Defying,Defied
Deflating,Deflated
Bulletproofing,Bulletproofed
Barbering,Barbered
Disowning,Disowned
Microfilming,Microfilmed
Recapturing,Recaptured
Tufting,Tufted
Clobbering,Clobbered
Dimensioning,Dimensioned
Summering,Summered
Manifolding,Manifolded
Poaching,Poached
Sceptring,Sceptred
Disconcerting,Disconcerted
Sliming,Slimed
Resting,Rested
Amalgamating,Amalgamated
Apostatizing,Apostatized
Dispersing,Dispersed
Vamping,Vamped
Jittering,Jittered
Parlaying,Parlayed
Underlining,Underlined
Uncapping,Uncapped
Foreboding,Foreboded
Overthrowing,Overthrew
Overcompensating,Overcompensated
Cerebrating,Cerebrated
Rejoining,Rejoined
Darting,Darted
Darking,Darked
Drydocking,Drydocked
Snarling,Snarled
Trafficking,Trafficked
Bandaging,Bandaged
Vacuuming,Vacuumed
Snaring,Snared
Daring,Dared
Clamming,Clammed
Expunging,Expunged
Cladding,Clad
Shuttering,Shuttered
Gimming,Gimmed
Immolating,Immolated
Claying,Clayed
Clawing,Clawed
Interring,Interred
Kennelling,Kennelled
Clapping,Clapped
Obstructing,Obstructed
Sulphuretting,Sulphuretted
Grubbing,Grubbed
Gaggling,Gaggled
Wattling,Wattled
Winching,Winched
Aspersing,Aspersed
Vivisecting,Vivisected
Surtaxing,Surtaxed
Divining,Divined
About-shipping,About-shipped
Authenticating,Authenticated
Toting,Toted
Stanchioning,Stanchioned
Tubing,Tubed
Exiting,Exited
Crenellating,Crenellated
Situating,Situated
Outfooting,Outfooted
Squabbling,Squabbled
Powering,Powered
Intimating,Intimated
Rationing,Rationed
Poising,Poised
Throwbacking,Throwbacked
Stoning,Stoned
Packaging,Packaged
Mediating,Mediated
Fishtailing,Fishtailed
Municipalizing,Municipalized
Acting,Acted
Meaning,Meant
Individualizing,Individualized
Rebuilding,Rebuilt
Impregnating,Impregnated
Yabbering,Yabbered
Potentiating,Potentiated
Imaging,Imaged
Acuminating,Acuminated
Inculcating,Inculcated
Bodychecking,Bodychecked
Carbonadoing,Carbonadoed
Apologizing,Apologized
Pivoting,Pivoted
Overtrading,Overtraded
Hewing,Hewed
Gleaming,Gleamed
Gleaning,Gleaned
Hexing,Hexed
Skenning,Skenned
Mollifying,Mollified
Bubbling,Bubbled
Completing,Completed
Outcropping,Outcropped
Defrosting,Defrosted
Kotowing,Kotowed
Pasteurizing,Pasteurized
Whinnying,Whinnied
Amplifying,Amplified
Pulling,Pulled
Rushing,Rushed
Darkening,Darkened
Raging,Raged
Puling,Puled
Attenuating,Attenuated
Flirting,Flirted
Imputing,Imputed
Dirtying,Dirtied
Reprimanding,Reprimanded
Suppurating,Suppurated
Agreeing,Agreed
Rusting,Rusted
Naturalizing,Naturalized
Migrating,Migrated
Impugning,Impugned
Creaking,Creaked
Jargoning,Jargoned
Reddling,Reddled
Dawning,Dawned
Enplaning,Enplaned
Creaming,Creamed
Exasperating,Exasperated
Rumpling,Rumpled
Substantivizing,Substantivized
Abolishing,Abolished
Whipping,Whipped
Leistering,Leistered
Indemnifying,Indemnified
Annexing,Annexed
Objurgating,Objurgated
Slanting,Slanted
Ankylosing,Ankylosed
Snitching,Snitched
Reselling,Resold
Slanging,Slanged
Explanting,Explanted
Neutering,Neutered
Grooming,Groomed
Masking,Masked
Mashing,Mashed
Mimicking,Mimicked
Masting,Masted
Massing,Massed
Quantifying,Quantified
Reponing,Reponed
Retching,Retched
Metastasizing,Metastasized
Considering,Considered
Degassing,Degassed
Bewaring,Bewared
Neighing,Neighed
Importuning,Importuned
Detruncating,Detruncated
Territorializing,Territorialized
Misfiling,Misfiled
Tinselling,Tinselled
Hellenizing,Hellenized
Overexposing,Overexposed
Tawaying,Tawayed
Redpencilling,Redpencilled
Fine-drawing,Fine-drew
Smiling,Smiled
Tattering,Tattered
Bechancing,Bechanced
Blockading,Blockaded
Amercing,Amerced
Conditioning,Conditioned
Cabling,Cabled
Recommitting,Recommitted
Heisting,Heisted
Lauding,Lauded
Sanding,Sanded
Adjusting,Adjusted
Exsiccating,Exsiccated
Harrying,Harried
Conceptualizing,Conceptualized
Enclasping,Enclasped
Overpersuading,Overpersuaded
Overspilling,Overspilt
Decerning,Decerned
Pashing,Pashed
Syncing,Synced
Tongue-lashing,Tongue-lashed
Pasting,Pasted
Burnishing,Burnished
Passing,Passed
Canvassing,Canvassed
Recalculating,Recalculated
Quickening,Quickened
Scuppering,Scuppered
Clocking,Clocked
Declassing,Declassed
Forestalling,Forestalled
Sectioning,Sectioned
Whiffing,Whiffed
Nursing,Nursed
Perforating,Perforated
LHliking,LHliked
Contrasting,Contrasted
Fulling,Fulled
Hashing,Hashed
Empowering,Empowered
Composing,Composed
Hasping,Hasped
Overawing,Overawed
Razzing,Razzed
Schussing,Schussed
Experiencing,Experienced
Photoengraving,Photoengraved
Entoiling,Entoiled
Skyrocketing,Skyrocketed
Picking,Picked
Lucking,Lucked
Razing,Razed
Smuggling,Smuggled
Re-presenting,Represented
Discommending,Discommended
Departing,Departed
Vying,Vied
Uprising,Uprose
Regimenting,Regimented
Estimating,Estimated
Selecting,Selected
Subculturing,Subcultured
Palliating,Palliated
Decribing,Decribed
Enlivening,Enlivened
Indisposing,Indisposed
Maltreating,Maltreated
Imploring,Implored
Automating,Automated
Adjoining,Adjoined
Teeming,Teemed
Depersonalizing,Depersonalized
Companying,Companied
Nitrifying,Nitrified
Pressure-cooking,Pressure-cooked
Dooming,Doomed
Unhinging,Unhinged
Kiboshing,Kiboshed
Fleecing,Fleeced
Apportioning,Apportioned
Malting,Malted
Chiselling,Chiselled
Learning,Learnt
Groping,Groped
Changeovering,Changeovered
Scrambling,Scrambled
Desquamating,Desquamated
Interflowing,Interflowed
Lixiviating,Lixiviated
Galloping,Galloped
Scabbing,Scabbed
Dillydallying,Dillydallied
Accepting,Accepted
Pubcrawling,Pubcrawled
Unzipping,Unzipped
Ethicizing,Ethicized
Sporing,Spored
Sensing,Sensed
Scarring,Scarred
Dressing,Dressed
Scatting,Scatted
Condemning,Condemned
Dazzling,Dazzled
Treadling,Treadled
Peptonizing,Peptonized
Enlarging,Enlarged
Topdressing,Topdressed
Clinging,Clung
Clinking,Clinked
Planting,Planted
Anointing,Anointed
Brachiating,Brachiated
Domesticizing,Domesticized
Sympathizing,Sympathized
Polymerizing,Polymerized
Volatilizing,Volatilized
Planing,Planed
Wavering,Wavered
Undersealing,Undersealed
Developing,Developed
Fluttering,Fluttered
Misapprehending,Misapprehended
Refusing,Refused
Resembling,Resembled
Syphoning,Syphoned
Registering,Registered
Puckering,Puckered
Denuding,Denuded
Wrenching,Wrenched
Trellising,Trellised
Panting,Panted
Parboiling,Parboiled
Televising,Televised
Trichinizing,Trichinized
Trading,Traded
Westering,Westered
Papering,Papered
Brimming,Brimmed
Kibbling,Kibbled
Wetnursing,Wetnursed
Mamaguying,Mamaguyed
Commeasuring,Commeasured
Coarsening,Coarsened
Bypassing,Bypassed
Judaizing,Judaized
Saucing,Sauced
Allying,Allied
Wrying,Wried
Proposing,Proposed
Consigning,Consigned
Respiring,Respired
Imperiling,Imperiled
Skippering,Skippered
Misusing,Misused
Speculating,Speculated
Harrowing,Harrowed
Resurfacing,Resurfaced
Founding,Founded
Mumping,Mumped
Reducing,Reduced
Policing,Policed
Unhairing,Unhaired
Scribing,Scribed
Terrifying,Terrified
Researching,Researched
Vowelizing,Vowelized
Gothicizing,Gothicized
Saluting,Saluted
Desulphurizing,Desulphurized
Unbuckling,Unbuckled
Disfiguring,Disfigured
Paltering,Paltered
Pickaxing,Pickaxed
Murmuring,Murmured
Imagining,Imagined
Dehorning,Dehorned
Reproaching,Reproached
Lucubrating,Lucubrated
Fadging,Fadged
Sickening,Sickened
Bumpering,Bumpered
Constringing,Constringed
Clumping,Clumped
Adducting,Adducted
Majoring,Majored
Besteading,Besteadeded
Purporting,Purported
Mercurializing,Mercurialized
Numbering,Numbered
Adducing,Adduced
Sequestering,Sequestered
Tangoing,Tangoed
Glittering,Glittered
Guessing,Guessed
Fullering,Fullered
Guesting,Guested
Jetting,Jetted
Swiping,Swiped
Sainting,Sainted
Averring,Averred
Unbolting,Unbolted
Gnashing,Gnashed
Discombobulating,Discombobulated
